name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kathmandu,2021-08-01,29,21,24.1,32,21,24.6,21.5,86.5,0.2,100,4.17,rain,0,0,,24.1,203.6,1007.8,84.8,8.3,256.1,22.1,8,,2021-08-01T05:26:45,2021-08-01T18:53:05,0.76,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-02,27,22,23.8,29.2,22,23.9,21.7,88.6,0.1,100,4.17,rain,0,0,,18.4,192.3,1009,84.4,7.7,213.1,18.1,6,,2021-08-02T05:27:17,2021-08-02T18:52:24,0.8,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-03,28,21,24.1,30.7,21,24.7,22,89.2,0.4,100,4.17,rain,0,0,,16.6,201,1010.3,87.7,6.7,241.6,20.9,8,,2021-08-03T05:27:50,2021-08-03T18:51:42,0.83,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.",rain,"44454099999,VNKT,remote"
Kathmandu,2021-08-04,25,21,22.4,25,21,22.4,21.5,94.7,4.4,100,4.17,rain,0,0,,11.2,188.3,1011.3,89.3,6.7,120.3,10.4,4,,2021-08-04T05:28:22,2021-08-04T18:50:59,0.86,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-05,29,20,23.6,30.8,20,23.8,20.3,83.2,0.7,100,4.17,rain,0,0,,18.3,147.5,1010.2,89.2,8,294,25.3,9,,2021-08-05T05:28:54,2021-08-05T18:50:15,0.89,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-06,31,21,24.9,33.8,21,25.7,21.8,84.1,0.6,100,4.17,rain,0,0,,14.8,299,1010,88,7.9,278.9,24,9,,2021-08-06T05:29:26,2021-08-06T18:49:30,0.93,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-07,27.2,22,24.5,31.5,22,24.8,22,86.8,18,100,4.17,rain,0,0,,18.3,189.6,1011.7,88.1,7.7,151.1,12.9,5,,2021-08-07T05:29:58,2021-08-07T18:48:43,0.96,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-08,28,21,23.8,31.3,21,24.2,22.1,90.9,14,100,8.33,rain,0,0,,27.7,166.2,1013,86.5,6.7,189.6,16.4,6,,2021-08-08T05:30:29,2021-08-08T18:47:56,0,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-09,29,21,23.9,32.8,21,24.5,21.9,89.3,18,100,4.17,rain,0,0,,16.6,197.9,1012.3,82.7,7.3,240,20.8,8,,2021-08-09T05:31:01,2021-08-09T18:47:08,0.02,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-10,29,21,24.2,32,21,24.8,21.8,87.5,0.4,100,4.17,rain,0,0,,20.5,201.3,1009.7,80.2,7.6,204.1,17.6,7,,2021-08-10T05:31:32,2021-08-10T18:46:18,0.06,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-11,29,21,24.7,32.8,21,25.4,22.1,86.6,0.7,100,4.17,rain,0,0,,20.5,191.1,1010.3,63.9,7.5,185.6,16.2,7,,2021-08-11T05:32:04,2021-08-11T18:45:28,0.1,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-12,28,22,23.8,32,22,24.1,22.6,93.3,10.4,100,4.17,rain,0,0,,14.8,167.2,1012,88.3,6.6,175.1,15.1,6,,2021-08-12T05:32:35,2021-08-12T18:44:36,0.13,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-13,27,22,23.8,29.7,22,24,22.2,90.9,3.6,100,4.17,rain,0,0,,18.4,208.3,1010.3,89.3,6.5,224.2,19.5,7,,2021-08-13T05:33:06,2021-08-13T18:43:44,0.17,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-14,28,21,23.8,30.7,21,24,22,90.1,0,0,0,,0,0,,14.7,139.6,1007.9,87.7,7.3,238.9,20.5,8,,2021-08-14T05:33:37,2021-08-14T18:42:51,0.2,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-15,27,21,23.3,29.7,21,23.5,21.7,90.8,10,100,4.17,rain,0,0,,14.8,154.5,1010,87.6,7.1,166.4,14.3,6,,2021-08-15T05:34:08,2021-08-15T18:41:56,0.25,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-16,28,22,24.6,30.7,22,25,21.6,84.4,0.4,100,8.33,rain,0,0,,16.6,211.8,1013.1,87.2,8,196.2,17.1,7,,2021-08-16T05:34:38,2021-08-16T18:41:01,0.28,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-17,27,22,23.7,29.2,22,24.1,21.8,89.2,18.9,100,8.33,rain,0,0,,11.2,177.3,1013.5,83.5,6.5,128.3,11.1,5,,2021-08-17T05:35:09,2021-08-17T18:40:05,0.31,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,remote,44449099999"
